Internship_ID,Title,Company,Description,Required_Education,Sector,Location,Skill_1,Skill_2,Skill_3,Skill_4
293,Brand Management Intern,JSW STEEL COATED PRODUCTS LIMITED,Help develop and execute brand marketing strategies.,MBA (Marketing),FMCG,Gurugram,Marketing Strategy,Brand Positioning,Market Research,
294,Human Resources Intern,INFOSYS BPM LIMITED,"Support the recruitment process, employee onboarding, and policy documentation.",MBA,HR,Work From Home,MS Office,Communication,,
295,Healthcare Management Intern,AU SMALL FINANCE BANK LIMITED,Support the operations and management of our healthcare facilities.,MBA (Healthcare),Healthcare,Pune,Healthcare Operations,Patient Care,Data Analysis,
296,Human Resources Intern,BALRAMPUR CHINI MILLS LTD,"Support the recruitment process, employee onboarding, and policy documentation.",MBA,HR,Work From Home,MS Office,Communication,,
297,Medical Research Intern,RBL BANK LIMITED,Assist with ongoing clinical research projects and data analysis.,MBBS/B.Pharm,Healthcare,Hyderabad,Clinical Trials,Data Collection,Statistical Analysis,
298,Sports Analytics Intern,B. G. SHIRKE CONSTRUCTION TECHNOLOGY PRIVATE LIMITED,Analyze sports data to provide insights to teams and management.,B.Sc (Stats)/B.Tech,Sports,Noida,Statistics,Python,SQL,Data Visualization
299,Financial Analyst Intern,URANIUM CORPORATION OF INDIA LIMITED,"Assist in financial modeling, market research, and preparing investment reports.",MBA,Finance,Delhi,Excel,Financial Modeling,Valuation,
300,Hardware Engineer Intern,JINDAL SAW LIMITED,Contribute to the design and testing of electronic circuits and hardware.,B.Tech (ECE),Electronics,Work From Home,Verilog,VHDL,PCB Design,
301,Recruitment Intern,ADANI GANGAVARAM PORT LIMITED,"Source candidates, schedule interviews, and assist with the hiring process.",MBA (HR),HR,Hyderabad,Sourcing,Interviewing,Applicant Tracking Systems,
302,Human Resources Intern,JK PAPER LIMITED,"Support the recruitment process, employee onboarding, and policy documentation.",MBA,HR,Work From Home,MS Office,Communication,,
303,Frontend Developer Intern,HDFC ERGO GENERAL INSURANCE COMPANY LIMITED,Build responsive and user-friendly web interfaces using modern frameworks.,Any Graduate,IT,Chennai,HTML,CSS,JavaScript,React
304,Hotel Management Intern,WHIRLPOOL OF INDIA LIMITED,Rotate through different hotel departments to learn all aspects of hotel management.,BHM,Travel & Hospitality,Jaipur,F&B Management,Housekeeping,Guest Relations,
305,Business Intelligence Intern,RELIANCE RETAIL VENTURES LIMITED,Create dashboards and reports to track key business metrics.,BBA/B.Com,Data Science,Work From Home,Power BI,Tableau,SQL,Data Warehousing
306,Brand Management Intern,EASTERN COALFIELDS LTD,Help develop and execute brand marketing strategies.,MBA (Marketing),FMCG,Ahmedabad,Marketing Strategy,Brand Positioning,Market Research,
307,Management Consultant Intern,PI INDUSTRIES LIMITED,"Work on client projects, conducting research and analysis to solve business problems.",MBA/B.Tech,Consulting,Work From Home,Problem Solving,Data Analysis,Client Communication,
308,R&D Intern,KEC INTERNATIONAL LIMITED,Assist scientists in research and development of new pharmaceutical products.,M.Pharm/M.Sc,Pharmaceuticals,Delhi,Laboratory Techniques,Data Analysis,Scientific Writing,
309,Data Analyst Intern,K.P.R. MILL LIMITED,"Clean, analyze, and visualize large datasets to generate actionable business insights.",Any Graduate,Data Science,Hyderabad,Python,Pandas,SQL,Tableau
310,Recruitment Intern,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,"Source candidates, schedule interviews, and assist with the hiring process.",MBA (HR),HR,Work From Home,Sourcing,Interviewing,Applicant Tracking Systems,
311,Business Intelligence Intern,SBI FUNDS MANAGEMENT LIMITED,Create dashboards and reports to track key business metrics.,BBA/B.Com,Data Science,Work From Home,Power BI,Tableau,SQL,Data Warehousing
312,Process Engineer Intern,THE NEW INDIA ASSURANCE COMPANY LIMITED,Analyze and improve manufacturing processes for efficiency and quality.,B.Tech (Chem),Manufacturing,Pune,Process Optimization,Chemical Engineering,AutoCAD,
313,Marketing Intern,AMERICAN EXPRESS(INDIA) PRIVATE LIMITED,"Assist in creating social media campaigns, writing blog posts, and analyzing marketing data.",BBA,Marketing,Kolkata,Social Media Marketing,Content Writing,SEO,
314,HR Generalist Intern,PNC INFRATECH LIMITED,"Assist with day-to-day HR operations, including employee relations and benefits.",MBA,HR,Hyderabad,Employee Relations,Onboarding,HR Policies,
315,Strategy & Analytics Intern,JAQUAR AND COMPANY PRIVATE LIMITED,"Assist consultants in gathering data, performing analysis, and creating client presentations.",Any Graduate,Consulting,Jaipur,Analytics,PowerPoint,Excel,
316,HR Generalist Intern,ADOBE SYSTEMS INDIA PRIVATE LIMITED,"Assist with day-to-day HR operations, including employee relations and benefits.",MBA,HR,Jaipur,Employee Relations,Onboarding,HR Policies,
317,Data Scientist Intern,MALABAR GOLD LIMITED,Develop and deploy machine learning models to solve business problems.,B.Tech/M.Tech,Data Science,Chennai,Python,R,Machine Learning,Statistics
318,Hardware Engineer Intern,TRIDENT LIMITED,Contribute to the design and testing of electronic circuits and hardware.,B.Tech (ECE),Electronics,Work From Home,Verilog,VHDL,PCB Design,
319,Real Estate Analyst Intern,BAJAJ ALLIANZ LIFE INSURANCE COMPANY LIMITED,Analyze real estate investment opportunities and market trends.,MBA/BBA,Real Estate,Chennai,Financial Modeling,Market Analysis,Real Estate Valuation,
320,Sports Analytics Intern,WNS GLOBAL SERVICES PRIVATE LIMITED,Analyze sports data to provide insights to teams and management.,B.Sc (Stats)/B.Tech,Sports,Noida,Statistics,Python,SQL,Data Visualization
321,Data Analyst Intern,ADANI TOTAL GAS LIMITED,"Clean, analyze, and visualize large datasets to generate actionable business insights.",Any Graduate,Data Science,Work From Home,Python,Pandas,SQL,Tableau
322,Content Writer Intern,SHELL ENERGY INDIA PRIVATE LIMITED,"Write articles, blog posts, and other content for our website and marketing channels.",Any Graduate,Marketing,Delhi,Creative Writing,Blogging,SEO Writing,
323,Backend Developer Intern,STERLITE TECHNOLOGIES LIMITED,"Work on developing server-side logic, APIs, and database integration for our flagship product.",B.Tech,IT,Jaipur,Python,Django,SQL,REST APIs
324,Digital Marketing Intern,IRCON INTERNATIONAL LIMITED,"Assist with online advertising campaigns, email marketing, and social media.",BBA/MBA,Marketing,Ahmedabad,SEM,PPC,Email Marketing,Google Analytics
325,Business Intelligence Intern,KOTAK SECURITIES LIMITED,Create dashboards and reports to track key business metrics.,BBA/B.Com,Data Science,Work From Home,Power BI,Tableau,SQL,Data Warehousing
326,HR Generalist Intern,WELSPUN LIVING LIMITED,"Assist with day-to-day HR operations, including employee relations and benefits.",MBA,HR,Hyderabad,Employee Relations,Onboarding,HR Policies,
327,Backend Developer Intern,JSW ENERGY (BARMER) LIMITED,"Work on developing server-side logic, APIs, and database integration for our flagship product.",B.Tech,IT,Ahmedabad,Python,Django,SQL,REST APIs
328,Hotel Management Intern,TAFE MOTORS AND TRACTORS LIMITED,Rotate through different hotel departments to learn all aspects of hotel management.,BHM,Travel & Hospitality,Jaipur,F&B Management,Housekeeping,Guest Relations,
329,Backend Developer Intern,WESTERN COALFIELDS LIMITED,"Work on developing server-side logic, APIs, and database integration for our flagship product.",B.Tech,IT,Jaipur,Python,Django,SQL,REST APIs
330,HR Generalist Intern,GHCL LIMITED,"Assist with day-to-day HR operations, including employee relations and benefits.",MBA,HR,Hyderabad,Employee Relations,Onboarding,HR Policies,
331,Data Analyst Intern,MAX LIFE INSURANCE COMPANY LIMITED,"Clean, analyze, and visualize large datasets to generate actionable business insights.",Any Graduate,Data Science,Work From Home,Python,Pandas,SQL,Tableau
332,Hotel Management Intern,VMWARE SOFTWARE INDIA PRIVATE LIMITED,Rotate through different hotel departments to learn all aspects of hotel management.,BHM,Travel & Hospitality,Jaipur,F&B Management,Housekeeping,Guest Relations,
333,Sales & Marketing Intern,GMR HYDERABAD INTERNATIONAL AIRPORT LIMITED,"Support the sales team with market analysis, distributor management, and promotional activities.",MBA (Marketing),FMCG,Work From Home,Sales,FMCG,Marketing,
334,Investment Banking Intern,STANDARD CHARTERED GLOBAL BUSINESS SERVICES PRIVATE LIMITED,"Support deal execution, including M&A and capital raising transactions.",MBA (Finance),Finance,Delhi,Valuation,DCF,M&A,Excel
335,Real Estate Analyst Intern,PRESTIGE ESTATES PROJECTS LIMITED,Analyze real estate investment opportunities and market trends.,MBA/BBA,Real Estate,Work From Home,Financial Modeling,Market Analysis,Real Estate Valuation,
336,Sports Marketing Intern,ABBOTT INDIA LIMITED,Help create and implement marketing campaigns for our sports brand.,MBA (Marketing),Sports,Jaipur,Digital Marketing,Brand Partnerships,Fan Engagement,
337,Recruitment Intern,MICROSOFT INDIA (R&D) PRIVATE LIMITED,"Source candidates, schedule interviews, and assist with the hiring process.",MBA (HR),HR,Work From Home,Sourcing,Interviewing,Applicant Tracking Systems,
338,Cloud Engineering Intern,PANASONIC LIFE SOLUTIONS INDIA PRIVATE LIMITED,"Work with our cloud infrastructure team to deploy, manage, and monitor cloud services.",B.Tech,IT,Kolkata,AWS,Azure,Docker,Kubernetes
339,Data Scientist Intern,SHYAM SEL AND POWER LIMITED,Develop and deploy machine learning models to solve business problems.,B.Tech/M.Tech,Data Science,Work From Home,Python,R,Machine Learning,Statistics
340,Hotel Management Intern,THRIVENI EARTHMOVERS PRIVATE LIMITED,Rotate through different hotel departments to learn all aspects of hotel management.,BHM,Travel & Hospitality,Jaipur,F&B Management,Housekeeping,Guest Relations,
341,Frontend Developer Intern,THE KARNATAKA BANK LIMITED,Build responsive and user-friendly web interfaces using modern frameworks.,Any Graduate,IT,Chennai,HTML,CSS,JavaScript,React
342,Investment Banking Intern,PIRAMAL ENTERPRISES LIMITED,"Support deal execution, including M&A and capital raising transactions.",MBA (Finance),Finance,Hyderabad,Valuation,DCF,M&A,Excel
343,Social Media Marketing Intern,DEEPAK NITRITE LIMITED,"Manage social media accounts, create engaging content, and track performance.",BBA/Any Graduate,Marketing,Delhi,Facebook Ads,Instagram Marketing,Content Creation,
344,Sports Management Intern,SUNDRAM FASTENERS LIMITED,Assist with the planning and execution of sporting events.,BBA (Sports Mgmt),Sports,Delhi,Event Planning,Sponsorship,Athlete Management,
345,HR Generalist Intern,TRANSUNION CIBIL LIMITED,"Assist with day-to-day HR operations, including employee relations and benefits.",MBA,HR,Hyderabad,Employee Relations,Onboarding,HR Policies,
346,Data Analyst Intern,SMFG INDIA CREDIT COMPANY LIMITED,"Clean, analyze, and visualize large datasets to generate actionable business insights.",Any Graduate,Data Science,Work From Home,Python,Pandas,SQL,Tableau
347,Technology Consultant Intern,PATANJALI FOODS LIMITED,Advise clients on technology strategy and help implement new systems.,B.Tech/MCA,Consulting,Jaipur,IT Strategy,System Implementation,Digital Transformation,
348,Technology Consultant Intern,DEUTSCHE INDIA PRIVATE LIMITED,Advise clients on technology strategy and help implement new systems.,B.Tech/MCA,Consulting,Jaipur,IT Strategy,System Implementation,Digital Transformation,
349,Real Estate Analyst Intern,VODAFONE IDEA LIMITED,Analyze real estate investment opportunities and market trends.,MBA/BBA,Real Estate,Work From Home,Financial Modeling,Market Analysis,Real Estate Valuation,
350,Digital Marketing Intern,GILLETTE INDIA LIMITED,"Assist with online advertising campaigns, email marketing, and social media.",BBA/MBA,Marketing,Ahmedabad,SEM,PPC,Email Marketing,Google Analytics
351,UI/UX Design Intern,APOLLO HOSPITALS ENTERPRISE LIMITED,"Create wireframes, mockups, and prototypes for our web and mobile applications.",Any Graduate,Design,Pune,Figma,Adobe XD,Wireframing,Prototyping
352,Frontend Developer Intern,HALDIRAM SNACKS PRIVATE LIMITED,Build responsive and user-friendly web interfaces using modern frameworks.,Any Graduate,IT,Chennai,HTML,CSS,JavaScript,React
353,Investment Banking Intern,THE GREAT EASTERN SHIPPING COMPANY LIMITED,"Support deal execution, including M&A and capital raising transactions.",MBA (Finance),Finance,Delhi,Valuation,DCF,M&A,Excel
354,Social Media Marketing Intern,BHANSALI ENGINEERING POLYMERS LIMITED,"Manage social media accounts, create engaging content, and track performance.",BBA/Any Graduate,Marketing,Delhi,Facebook Ads,Instagram Marketing,Content Creation,
355,Hotel Management Intern,EBIXCASH LIMITED,Rotate through different hotel departments to learn all aspects of hotel management.,BHM,Travel & Hospitality,Jaipur,F&B Management,Housekeeping,Guest Relations,
356,Real Estate Analyst Intern,EDELWEISS ASSET RECONSTRUCTION COMPANY LIMITED,Analyze real estate investment opportunities and market trends.,MBA/BBA,Real Estate,Pune,Financial Modeling,Market Analysis,Real Estate Valuation,
357,Sports Marketing Intern,ADITYA BIRLA SUN LIFE AMC LIMITED,Help create and implement marketing campaigns for our sports brand.,MBA (Marketing),Sports,Jaipur,Digital Marketing,Brand Partnerships,Fan Engagement,
358,Process Engineer Intern,TATA CAPITAL HOUSING FINANCE LIMITED,Analyze and improve manufacturing processes for efficiency and quality.,B.Tech (Chem),Manufacturing,Gurugram,Process Optimization,Chemical Engineering,AutoCAD,
359,Digital Marketing Intern,GRT JEWELLERS (INDIA) PRIVATE LIMITED,"Assist with online advertising campaigns, email marketing, and social media.",BBA/MBA,Marketing,Ahmedabad,SEM,PPC,Email Marketing,Google Analytics
360,Sports Marketing Intern,ENDURANCE TECHNOLOGIES LIMITED,Help create and implement marketing campaigns for our sports brand.,MBA (Marketing),Sports,Ahmedabad,Digital Marketing,Brand Partnerships,Fan Engagement,
361,Social Media Marketing Intern,CAN FIN HOMES LIMITED,"Manage social media accounts, create engaging content, and track performance.",BBA/Any Graduate,Marketing,Delhi,Facebook Ads,Instagram Marketing,Content Creation,
362,Sports Management Intern,UNITED BREWERIES LIMITED,Assist with the planning and execution of sporting events.,BBA (Sports Mgmt),Sports,Hyderabad,Event Planning,Sponsorship,Athlete Management,
363,HR Generalist Intern,SUPER CASSETTES INDUSTRIES PRIVATE LIMITED,"Assist with day-to-day HR operations, including employee relations and benefits.",MBA,HR,Work From Home,Employee Relations,Onboarding,HR Policies,
364,Consumer Electronics Intern,STAR INDIA PRIVATE LIMITED,"Assist in product marketing, market research, or technical support for home appliances or electronics.",BBA,Electronics,Hyderabad,Marketing,Product Management,,
365,Digital Marketing Intern,SHREE RAMKRISHNA EXPORTS PRIVATE LIMITED,"Assist with online advertising campaigns, email marketing, and social media.",BBA/MBA,Marketing,Ahmedabad,SEM,PPC,Email Marketing,Google Analytics
366,Travel Operations Intern,ESSEL MINING & INDUSTRIES LTD.,"Assist with booking, scheduling, and other travel logistics.",B.A. (Tourism),Travel & Hospitality,Ahmedabad,Booking Systems,Itinerary Planning,Vendor Management,
367,Cloud Engineering Intern,DCB BANK LIMITED,"Work with our cloud infrastructure team to deploy, manage, and monitor cloud services.",B.Tech,IT,Jaipur,AWS,Azure,Docker,Kubernetes
368,Business Intelligence Intern,NOVATEUR ELECTRICAL & DIGITAL SYSTEMS PRIVATE LIMITED,Create dashboards and reports to track key business metrics.,BBA/B.Com,Data Science,Work From Home,Power BI,Tableau,SQL,Data Warehousing
369,Hotel Management Intern,ECGC LIMITED,Rotate through different hotel departments to learn all aspects of hotel management.,BHM,Travel & Hospitality,Jaipur,F&B Management,Housekeeping,Guest Relations,
370,Hardware Engineer Intern,KITEX CHILDRENSWEAR LIMITED,Contribute to the design and testing of electronic circuits and hardware.,B.Tech (ECE),Electronics,Work From Home,Verilog,VHDL,PCB Design,
371,Social Media Marketing Intern,CUMMINS TECHNOLOGIES INDIA PRIVATE LIMITED,"Manage social media accounts, create engaging content, and track performance.",BBA/Any Graduate,Marketing,Delhi,Facebook Ads,Instagram Marketing,Content Creation,
372,Financial Analyst Intern,DALMIA CEMENT (BHARAT) LIMITED,"Assist in financial modeling, market research, and preparing investment reports.",MBA,Finance,Hyderabad,Excel,Financial Modeling,Valuation,
373,Sports Management Intern,KARNAVATI AVIATION PRIVATE LIMITED,Assist with the planning and execution of sporting events.,BBA (Sports Mgmt),Sports,Delhi,Event Planning,Sponsorship,Athlete Management,
374,Hardware Engineer Intern,CITIGROUP GLOBAL MARKETS INDIA PRIVATE LIMITED,Contribute to the design and testing of electronic circuits and hardware.,B.Tech (ECE),Electronics,Work From Home,Verilog,VHDL,PCB Design,
375,Hotel Management Intern,COLOURTEX INDUSTRIES PRIVATE LIMITED,Rotate through different hotel departments to learn all aspects of hotel management.,BHM,Travel & Hospitality,Jaipur,F&B Management,Housekeeping,Guest Relations,
376,Brand Management Intern,CYIENT LIMITED,Help develop and execute brand marketing strategies.,MBA (Marketing),FMCG,Gurugram,Marketing Strategy,Brand Positioning,Market Research,
377,Data Analyst Intern,NSE CLEARING LIMITED,"Clean, analyze, and visualize large datasets to generate actionable business insights.",Any Graduate,Data Science,Hyderabad,Python,Pandas,SQL,Tableau
378,Process Engineer Intern,BHUSHAN POWER & STEEL LIMITED,Analyze and improve manufacturing processes for efficiency and quality.,B.Tech (Chem),Manufacturing,Gurugram,Process Optimization,Chemical Engineering,AutoCAD,
379,Hotel Management Intern,ADANI TRANSMISSION (INDIA) LIMITED,Rotate through different hotel departments to learn all aspects of hotel management.,BHM,Travel & Hospitality,Jaipur,F&B Management,Housekeeping,Guest Relations,
380,Real Estate Analyst Intern,BAJAJ HOLDINGS & INVESTMENT LIMITED.,Analyze real estate investment opportunities and market trends.,MBA/BBA,Real Estate,Pune,Financial Modeling,Market Analysis,Real Estate Valuation,
381,Strategy & Analytics Intern,GUJARAT ALKALIES AND CHEMICALS LIMITED,"Assist consultants in gathering data, performing analysis, and creating client presentations.",Any Graduate,Consulting,Jaipur,Analytics,PowerPoint,Excel,
382,Digital Marketing Intern,BRAKES INDIA PRIVATE LIMITED,"Assist with online advertising campaigns, email marketing, and social media.",BBA/MBA,Marketing,Ahmedabad,SEM,PPC,Email Marketing,Google Analytics
383,Financial Analyst Intern,APCO INFRATECH PRIVATE LIMITED,"Assist in financial modeling, market research, and preparing investment reports.",MBA,Finance,Delhi,Excel,Financial Modeling,Valuation,
384,Investment Banking Intern,ICICI SECURITIES PRIMARY DEALERSHIP LIMITED,"Support deal execution, including M&A and capital raising transactions.",MBA (Finance),Finance,Hyderabad,Valuation,DCF,M&A,Excel
385,Data Scientist Intern,ALKEM LABORATORIES LIMITED,Develop and deploy machine learning models to solve business problems.,B.Tech/M.Tech,Data Science,Work From Home,Python,R,Machine Learning,Statistics
386,Data Analyst Intern,FINOLEX CABLES LIMITED,"Clean, analyze, and visualize large datasets to generate actionable business insights.",Any Graduate,Data Science,Work From Home,Python,Pandas,SQL,Tableau
387,Financial Analyst Intern,INDIAN METALS AND FERRO ALLOYS LTD.,"Assist in financial modeling, market research, and preparing investment reports.",MBA,Finance,Delhi,Excel,Financial Modeling,Valuation,
388,Sports Marketing Intern,WIPRO ENTERPRISES PRIVATE LIMITED,Help create and implement marketing campaigns for our sports brand.,MBA (Marketing),Sports,Jaipur,Digital Marketing,Brand Partnerships,Fan Engagement,
389,Hotel Management Intern,KIOCL LIMITED,Rotate through different hotel departments to learn all aspects of hotel management.,BHM,Travel & Hospitality,Delhi,F&B Management,Housekeeping,Guest Relations,
390,Human Resources Intern,KARNATAKA RURAL INFRASTRUCTURE DEVELOPMENT LIMITED,"Support the recruitment process, employee onboarding, and policy documentation.",MBA,HR,Noida,MS Office,Communication,,
391,HR Generalist Intern,ATRIA CONVERGENCE TECHNOLOGIES LIMITED,"Assist with day-to-day HR operations, including employee relations and benefits.",MBA,HR,Work From Home,Employee Relations,Onboarding,HR Policies,
392,Data Analyst Intern,GRANULES INDIA LIMITED,"Clean, analyze, and visualize large datasets to generate actionable business insights.",Any Graduate,Data Science,Pune,Python,Pandas,SQL,Tableau
393,Data Scientist Intern,ASHOKA BUILDCON LIMITED,Develop and deploy machine learning models to solve business problems.,B.Tech/M.Tech,Data Science,Noida,Python,R,Machine Learning,Statistics
394,Social Media Marketing Intern,GUJARAT MINERAL DEVELOPMENT CORPORATION LIMITED,"Manage social media accounts, create engaging content, and track performance.",BBA/Any Graduate,Marketing,Delhi,Facebook Ads,Instagram Marketing,Content Creation,
395,Business Intelligence Intern,JUBILANT FOODWORKS LIMITED,Create dashboards and reports to track key business metrics.,BBA/B.Com,Data Science,Noida,Power BI,Tableau,SQL,Data Warehousing
396,Sales & Marketing Intern,GENPACT INDIA PRIVATE LIMITED,"Support the sales team with market analysis, distributor management, and promotional activities.",MBA (Marketing),FMCG,Work From Home,Sales,FMCG,Marketing,
397,Data Analyst Intern,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,"Clean, analyze, and visualize large datasets to generate actionable business insights.",Any Graduate,Data Science,Work From Home,Python,Pandas,SQL,Tableau
398,Data Analyst Intern,BAJAJ HOUSING FINANCE LIMITED,"Clean, analyze, and visualize large datasets to generate actionable business insights.",Any Graduate,Data Science,Pune,Python,Pandas,SQL,Tableau
399,Hotel Management Intern,EMAMI LIMITED,Rotate through different hotel departments to learn all aspects of hotel management.,BHM,Travel & Hospitality,Gurugram,F&B Management,Housekeeping,Guest Relations,
400,Sports Management Intern,INDIAN ENERGY EXCHANGE LIMITED,Assist with the planning and execution of sporting events.,BBA (Sports Mgmt),Sports,Hyderabad,Event Planning,Sponsorship,Athlete Management,
401,Data Analyst Intern,BIRLA CARBON INDIA PRIVATE LIMITED,"Clean, analyze, and visualize large datasets to generate actionable business insights.",Any Graduate,Data Science,Work From Home,Python,Pandas,SQL,Tableau
402,Sales & Marketing Intern,PFIZER LIMITED,"Support the sales team with market analysis, distributor management, and promotional activities.",MBA (Marketing),FMCG,Noida,Sales,FMCG,Marketing,
403,Data Analyst Intern,NIPPON LIFE INDIA ASSET MANAGEMENT LIMITED,"Clean, analyze, and visualize large datasets to generate actionable business insights.",Any Graduate,Data Science,Work From Home,Python,Pandas,SQL,Tableau
404,Sports Analytics Intern,HINDUSTAN COCA-COLA BEVERAGES PRIVATE LIMITED,Analyze sports data to provide insights to teams and management.,B.Sc (Stats)/B.Tech,Sports,Noida,Statistics,Python,SQL,Data Visualization
405,Social Media Marketing Intern,WONDER CEMENT LIMITED,"Manage social media accounts, create engaging content, and track performance.",BBA/Any Graduate,Marketing,Delhi,Facebook Ads,Instagram Marketing,Content Creation,
406,Business Intelligence Intern,DXC TECHNOLOGY INDIA PRIVATE LIMITED,Create dashboards and reports to track key business metrics.,BBA/B.Com,Data Science,Noida,Power BI,Tableau,SQL,Data Warehousing
407,Sales & Marketing Intern,MOTILAL OSWAL FINANCIAL SERVICES LIMITED,"Support the sales team with market analysis, distributor management, and promotional activities.",MBA (Marketing),FMCG,Work From Home,Sales,FMCG,Marketing,
408,Brand Management Intern,CGI INFORMATION SYSTEMS AND MANAGEMENT CONSULTANTS PRIVATE LIMITED,Help develop and execute brand marketing strategies.,MBA (Marketing),FMCG,Gurugram,Marketing Strategy,Brand Positioning,Market Research,
409,Data Analyst Intern,MUSIGMA BUSINESS SOLUTIONS PRIVATE LIMITED,"Clean, analyze, and visualize large datasets to generate actionable business insights.",Any Graduate,Data Science,Work From Home,Python,Pandas,SQL,Tableau
410,Data Scientist Intern,ADANI POWER LIMITED,Develop and deploy machine learning models to solve business problems.,B.Tech/M.Tech,Data Science,Noida,Python,R,Machine Learning,Statistics
411,Hotel Management Intern,EMCURE PHARMACEUTICALS LIMITED,Rotate through different hotel departments to learn all aspects of hotel management.,BHM,Travel & Hospitality,Jaipur,F&B Management,Housekeeping,Guest Relations,
412,Hotel Management Intern,DECCAN FINE CHEMICALS (INDIA) PRIVATE LIMITED,Rotate through different hotel departments to learn all aspects of hotel management.,BHM,Travel & Hospitality,Delhi,F&B Management,Housekeeping,Guest Relations,
413,Recruitment Intern,G R INFRAPROJECTS LIMITED,"Source candidates, schedule interviews, and assist with the hiring process.",MBA (HR),HR,Hyderabad,Sourcing,Interviewing,Applicant Tracking Systems,
414,Data Analyst Intern,TATA AIG GENERAL INSURANCE COMPANY LIMITED,"Clean, analyze, and visualize large datasets to generate actionable business insights.",Any Graduate,Data Science,Work From Home,Python,Pandas,SQL,Tableau
415,Recruitment Intern,D P F TEXTILES PRIVATE LIMITED,"Source candidates, schedule interviews, and assist with the hiring process.",MBA (HR),HR,Work From Home,Sourcing,Interviewing,Applicant Tracking Systems,
416,Cloud Engineering Intern,FIDELITY BUSINESS SERVICES INDIA PRIVATE LIMITED,"Work with our cloud infrastructure team to deploy, manage, and monitor cloud services.",B.Tech,IT,Jaipur,AWS,Azure,Docker,Kubernetes
417,Data Analyst Intern,RASHTRIYA CHEMICALS AND FERTILIZERS LIMITED,"Clean, analyze, and visualize large datasets to generate actionable business insights.",Any Graduate,Data Science,Pune,Python,Pandas,SQL,Tableau
418,Frontend Developer Intern,INFO EDGE (INDIA) LIMITED,Build responsive and user-friendly web interfaces using modern frameworks.,Any Graduate,IT,Chennai,HTML,CSS,JavaScript,React
419,Financial Analyst Intern,EVEREST FOOD PRODUCTS PRIVATE LIMITED,"Assist in financial modeling, market research, and preparing investment reports.",MBA,Finance,Delhi,Excel,Financial Modeling,Valuation,
420,Hotel Management Intern,TAMILNADU POWER FINANCE AND INFRASTRUCTURE DEVELOPMENT CORPORATION LIMITED,Rotate through different hotel departments to learn all aspects of hotel management.,BHM,Travel & Hospitality,Jaipur,F&B Management,Housekeeping,Guest Relations,
421,Hotel Management Intern,KAJARIA CERAMICS LIMITED,Rotate through different hotel departments to learn all aspects of hotel management.,BHM,Travel & Hospitality,Jaipur,F&B Management,Housekeeping,Guest Relations,
422,Investment Banking Intern,MAITHAN ALLOYS LTD.,"Support deal execution, including M&A and capital raising transactions.",MBA (Finance),Finance,Hyderabad,Valuation,DCF,M&A,Excel
423,Full Stack Developer Intern,HUAWEI TELECOMMUNICATIONS (INDIA) COMPANY PRIVATE LIMITED,Contribute to both front-end and back-end development of our web applications.,B.Tech,IT,Jaipur,JavaScript,Node.js,React,MongoDB
424,Social Media Marketing Intern,IIFL HOME FINANCE LIMITED,"Manage social media accounts, create engaging content, and track performance.",BBA/Any Graduate,Marketing,Delhi,Facebook Ads,Instagram Marketing,Content Creation,
425,Frontend Developer Intern,GUJARAT FLUOROCHEMICALS LIMITED,Build responsive and user-friendly web interfaces using modern frameworks.,Any Graduate,IT,Chennai,HTML,CSS,JavaScript,React
426,Human Resources Intern,VENCO RESEARCH AND BREEDING FARM PRIVATE LIMITED,"Support the recruitment process, employee onboarding, and policy documentation.",MBA,HR,Noida,MS Office,Communication,,
427,Strategy & Analytics Intern,RASHMI CEMENT LIMITED,"Assist consultants in gathering data, performing analysis, and creating client presentations.",Any Graduate,Consulting,Jaipur,Analytics,PowerPoint,Excel,
428,Hotel Management Intern,SKODA AUTO VOLKSWAGEN INDIA PRIVATE LIMITED,Rotate through different hotel departments to learn all aspects of hotel management.,BHM,Travel & Hospitality,Jaipur,F&B Management,Housekeeping,Guest Relations,
429,Social Media Marketing Intern,NTPC TAMIL NADU ENERGY COMPANY LIMITED,"Manage social media accounts, create engaging content, and track performance.",BBA/Any Graduate,Marketing,Delhi,Facebook Ads,Instagram Marketing,Content Creation,
430,Social Media Marketing Intern,NTPC-SAIL POWER COMPANY LIMITED,"Manage social media accounts, create engaging content, and track performance.",BBA/Any Graduate,Marketing,Delhi,Facebook Ads,Instagram Marketing,Content Creation,
431,Data Analyst Intern,FRIGERIO CONSERVA ALLANA PRIVATE LIMITED,"Clean, analyze, and visualize large datasets to generate actionable business insights.",Any Graduate,Data Science,Pune,Python,Pandas,SQL,Tableau
432,Financial Analyst Intern,TUBE INVESTMENTS OF INDIA LIMITED,"Assist in financial modeling, market research, and preparing investment reports.",MBA,Finance,Delhi,Excel,Financial Modeling,Valuation,
433,Recruitment Intern,MAHARASHTRA EASTERN GRID POWER TRANSMISSION COMPANY LIMITED,"Source candidates, schedule interviews, and assist with the hiring process.",MBA (HR),HR,Work From Home,Sourcing,Interviewing,Applicant Tracking Systems,
434,Real Estate Analyst Intern,CYBAGE SOFTWARE PRIVATE LIMITED,Analyze real estate investment opportunities and market trends.,MBA/BBA,Real Estate,Pune,Financial Modeling,Market Analysis,Real Estate Valuation,
